Date,nikkei,topix,return_nikkie,return_topix
7/3/2008,13265.400391,1298.02,-0.157953537249196,-0.240846232683004
7/4/2008,13237.889648,1297.88,-0.207602549269823,-0.0107862398501898
7/7/2008,13360.040039,1312.8,0.918501937557736,1.14300967085617
7/8/2008,13033.099609,1283.51,-2.47759196860301,-2.25637482990887
7/9/2008,13052.129883,1285.53,0.145908452766409,0.157257217971338
7/10/2008,13067.209961,1290.76,0.115470603511785,0.406010750690408
7/11/2008,13039.69043,1285.91,-0.210821972586523,-0.376455326277135
7/14/2008,13010.160156,1280.72,-0.22672135144839,-0.404421913079956
7/15/2008,12754.55957,1253.12,-1.98417816621882,-2.17859783078029
7/16/2008,12760.799805,1249.28,0.048913558556676,-0.306905611741788
7/17/2008,12887.950195,1263.65,0.991482482473044,1.14369732844745
7/18/2008,12803.700195,1252.43,-0.655857453462934,-0.891869445543068
7/22/2008,13184.959961,1287.74,2.93425762072296,2.78030797594505
7/23/2008,13312.929688,1303.35,0.965893688935701,1.20491290202121
7/24/2008,13603.30957,1332.57,2.15773938906976,2.21715355398945
7/25/2008,13334.759766,1298.28,-1.99389716987007,-2.60690970057369
7/28/2008,13353.780273,1300.79,0.142536910542872,0.19314606996385
7/29/2008,13159.450195,1281.64,-1.46593647500564,-1.48312643738115
7/30/2008,13367.790039,1302.99,1.57079384019845,1.65211156850022
7/31/2008,13376.80957,1303.62,0.0674493652835332,0.0483386476893053
8/1/2008,13094.589844,1272.93,-2.13234226877795,-2.38236801465162
8/4/2008,12933.179688,1248.25,-1.24030777992867,-1.95787594479698
8/5/2008,12914.660156,1247.71,-0.143296579371877,-0.0432699248726139
8/6/2008,13254.889648,1277.27,2.60034020921104,2.34151165979325
8/7/2008,13124.990234,1258.81,-0.984844999390977,-1.45581574975061
8/8/2008,13168.410156,1259.93,0.330272698279324,0.0889333614282321
8/11/2008,13430.910156,1280,1.973798721968,1.58039140669616
8/12/2008,13303.599609,1271.42,-0.952413270112406,-0.672569184450308
8/13/2008,13023.049805,1246.48,-2.13137965366943,-1.98108071600605
8/14/2008,12956.799805,1238.93,-0.510011756018265,-0.607547505112346
8/15/2008,13019.410156,1247.31,0.482060102993558,0.674112855895482
8/18/2008,13165.450195,1263.75,1.11546558819315,1.30942589177508
8/19/2008,12865.049805,1235.54,-2.30816716349523,-2.25753698736385
8/20/2008,12851.69043,1233.37,-0.103896342068614,-0.175786120902651
8/21/2008,12752.209961,1224.53,-0.777076680293255,-0.719316336407376
8/22/2008,12666.040039,1216.42,-0.678018762968644,-0.664497826001863
8/25/2008,12878.660156,1239.25,1.66472908806342,1.85942392727596
8/26/2008,12778.709961,1229.35,-0.779118827431532,-0.802078350047938
8/27/2008,12752.959961,1223.69,-0.20171033707886,-0.461469037953819
8/28/2008,12768.25,1219.53,0.119822225143228,-0.340534542126935
8/29/2008,13072.870117,1254.71,2.35774786041291,2.84389315671743
9/1/2008,12834.179688,1230.64,-1.8427199155066,-1.9370110919075
9/2/2008,12609.469727,1212.37,-1.76638028569989,-1.49572376788021
9/3/2008,12689.589844,1220.55,0.633386269783264,0.672445524208236
9/4/2008,12557.660156,1201.65,-1.04511096329654,-1.56059644815404
9/5/2008,12212.230469,1170.84,-2.78929033399619,-2.59741724213767
9/8/2008,12624.459961,1216.41,3.31982518469605,3.81824578414994
9/9/2008,12400.650391,1191.59,-1.78872767576066,-2.06153480233234
9/10/2008,12346.629883,1192.38,-0.436578025581809,0.0662760042213209
9/11/2008,12102.5,1162.72,-1.99710990350577,-2.51892218999225
9/12/2008,12214.759766,1177.2,0.923299455401367,1.23766494909919
9/16/2008,11609.719727,1117.57,-5.08023826219243,-5.19820520123565
9/17/2008,11749.790039,1121.43,1.19927166454368,0.344797125871863
9/18/2008,11489.299805,1097.68,-2.24192209180814,-2.14057949927599
9/19/2008,11920.860352,1149.12,3.68736857226071,4.57975704247981
9/22/2008,12090.589844,1168.69,1.41376149813312,1.68870313489995
9/24/2008,12115.030273,1167.97,0.201940187340828,-0.0616264259915358
9/25/2008,12006.530273,1153.95,-0.899616188120004,-1.20763595537487
9/26/2008,11893.160156,1147.89,-0.94872331240547,-0.526536509978854
9/29/2008,11743.610352,1127.87,-1.26541652156213,-1.75945762837983
9/30/2008,11259.860352,1087.41,-4.2065072344429,-3.65321762720006
10/1/2008,11368.259766,1101.13,0.958102066388605,1.25382033127191
10/2/2008,11154.759766,1076.97,-1.89589495073199,-2.21853826149618
10/3/2008,10938.139648,1047.97,-1.96105595831861,-2.72965830981647
10/6/2008,10473.089844,999.05,-4.34466366916012,-4.7805411070917
10/7/2008,10155.900391,977.61,-3.07542394874529,-2.16940099485583
10/8/2008,9203.320312,899.01,-9.84905334742641,-8.38166596173056
10/9/2008,9157.490234,905.11,-0.499217320126291,0.676232539474106
10/10/2008,8276.429688,840.86,-10.1160470918481,-7.36313056493806
10/14/2008,9447.570312,956.3,13.2345920302464,12.8646493729859
10/15/2008,9547.469727,955.51,1.0518570728837,-0.0826442005183135
10/16/2008,8458.450195,864.52,-12.1110204578782,-10.0070789734596
10/17/2008,8693.820312,894.29,2.74464995500495,3.38556677438984
10/20/2008,9005.589844,927.37,3.5233014008999,3.63225155733341
10/21/2008,9306.25,956.64,3.28407391350987,3.1074522199644
10/22/2008,8674.69043,889.23,-7.02765775565883,-7.30712254200397
10/23/2008,8460.980469,871.7,-2.49445783098805,-1.99105916950241
10/24/2008,7649.080078,806.11,-10.0879672217859,-7.82251183961634
10/27/2008,7162.899902,746.46,-6.56704761436205,-7.68781774669123
10/28/2008,7621.919922,784.03,6.21133830078841,4.91052527699775
10/29/2008,8211.900391,830.32,7.45560731647428,5.73638837326015
10/30/2008,9029.759766,899.37,9.494139369343,7.98833495528838
10/31/2008,8576.980469,867.12,-5.14438382191269,-3.65171427024228
11/4/2008,9114.599609,910.7,6.0795555692163,4.90361590662784
11/5/2008,9521.240234,966.91,4.36476364373497,5.98918851934087
11/6/2008,8899.139648,909.3,-6.75705136973534,-6.14303470353146
11/7/2008,8583,879,-3.61711005652403,-3.38901750466902
11/10/2008,9081.429688,916.65,5.64481321079912,4.19408223238572
11/11/2008,8809.299805,889.36,-3.04236753529982,-3.02236170836746
11/12/2008,8695.509766,875.23,-1.30011859162921,-1.6015393965774
11/13/2008,8238.639648,837.53,-5.39715345446019,-4.40296250063947
11/14/2008,8462.389648,846.91,2.67963590050199,1.11373476741636
11/17/2008,8522.580078,850.49,0.708752301980495,0.421822234990298
11/18/2008,8328.410156,835.44,-2.30465407149387,-1.78541218059643
11/19/2008,8273.219727,827.43,-0.664882095371604,-0.963402064320765
11/20/2008,7703.040039,782.28,-7.14086981840366,-5.61117788036373
11/21/2008,7910.790039,802.69,2.66125940979384,2.57558543810782
11/25/2008,8323.929688,831.58,5.09068062949303,3.5358918565075
11/26/2008,8213.219727,817.22,-1.33894436335721,-1.74191692135931
11/27/2008,8373.389648,829.03,1.93137604253672,1.43480062020388
11/28/2008,8512.269531,834.82,1.6449818537117,0.695979009122622
12/1/2008,8397.219727,827.47,-1.36079307433661,-0.884327993267424
12/2/2008,7863.689941,787.12,-6.56447117581193,-4.99921382600888
12/3/2008,8004.100098,799.19,1.76979682176781,1.52180001860391
12/4/2008,7924.240234,788.88,-1.00274769995356,-1.29844967194756
12/5/2008,7917.509766,786.02,-0.0849712740695507,-0.363198062597223
12/8/2008,8329.049805,812.08,5.0672647744716,3.26166200780744
12/9/2008,8395.870117,817.94,0.799055156556211,0.719012680310367
12/10/2008,8660.240234,834.55,3.10025306258943,2.01036731451469
12/11/2008,8720.549805,849.25,0.693982412913501,1.74609496162668
12/12/2008,8235.870117,813.37,-5.7183268079588,-4.31674964705036
12/15/2008,8664.660156,846.93,5.07536832010569,4.04319360385101
12/16/2008,8568.019531,828.62,-1.12160894155069,-2.18563801579726
12/17/2008,8612.519531,838.46,0.518029141624092,1.18052094409027
12/18/2008,8667.230469,838.69,0.633239726526136,0.0274274813155547
12/19/2008,8588.519531,834.43,-0.912292817303,-0.509229368564435
12/22/2008,8723.780273,848.72,1.5626288345378,1.69804751318753
12/24/2008,8517.099609,826.99,-2.39768001193717,-2.59367290988605
12/25/2008,8599.5,836.02,0.962820062860386,1.08599331913611
12/26/2008,8739.519531,846.58,1.61511525521378,1.25521676568635
12/29/2008,8747.169922,854.77,0.0874995980075859,0.962772299986358
12/30/2008,8859.55957,859.24,1.2766842882506,0.521585070553233
1/5/2009,9043.120117,875.91,2.05072070917253,1.92150683265008
1/6/2009,9080.839844,876.2,0.416242162765496,0.0331029447521324
1/7/2009,9239.240234,888.25,1.72929743467839,1.36588595213384
1/8/2009,8876.419922,860.89,-4.00613427397761,-3.12864970556491
1/9/2009,8836.799805,855.02,-0.447351567754371,-0.684187736944579
1/13/2009,8413.910156,814.12,-4.90384909044107,-4.90170851913632
1/14/2009,8438.450195,819.39,0.29123583681158,0.64523857018772
1/15/2009,8023.310059,795.99,-5.04476032699259,-2.89735380351556
1/16/2009,8230.150391,817.89,2.54532257418093,2.71412302812359
1/19/2009,8256.849609,817.73,0.323882347783271,-0.0195644465719849
1/20/2009,8065.790039,805.03,-2.34114457734263,-1.56526649620075
1/21/2009,7901.640137,787.15,-2.05613155349591,-2.24607163442703
1/22/2009,8051.740234,795.91,1.88178960009813,1.1067286664746
1/23/2009,7745.25,773.55,-3.88084939665055,-2.84958049603063
1/26/2009,7682.140137,768.28,-0.818158022553962,-0.683605912842642
1/27/2009,8061.069824,805.49,4.81481082046143,4.72965378540294
1/28/2009,8106.290039,804.33,0.559402812910873,-0.144115516116054
1/29/2009,8251.240234,818.47,1.77232120962281,1.74271109970029
1/30/2009,7994.049805,794.03,-3.16660298744507,-3.03154998178462
2/2/2009,7873.97998,777.85,-1.51338405942184,-2.05875403755463
2/3/2009,7825.509766,773.79,-0.61747698542114,-0.523318458620204
2/4/2009,8038.939941,792.78,2.69083462448003,2.42452367072519
2/5/2009,7949.649902,786.41,-1.11693361515319,-0.806747072709901
2/6/2009,8076.620117,790.84,1.58455924563996,0.561738677959839
2/9/2009,7969.029785,778.9,-1.34107306518268,-1.5213003780777
2/10/2009,7945.939941,778.1,-0.290165304717629,-0.102761730301838
2/12/2009,7705.359863,760.29,-3.07449261617119,-2.31551111778715
2/13/2009,7779.399902,764.59,0.956302898837209,0.563980299779358
2/16/2009,7750.169922,770.1,-0.376443325209003,0.718063410239801
2/17/2009,7645.509766,756.53,-1.35962517263076,-1.77781877911217
2/18/2009,7534.439941,749.26,-1.46340151727931,-0.965613596636301
2/19/2009,7557.649902,751.59,0.307578069564364,0.310490971363778
2/20/2009,7416.379883,739.53,-1.88692306049351,-1.61761132220417
2/23/2009,7376.160156,735.28,-0.543785259364929,-0.576347022946182
2/24/2009,7268.560059,730.28,-1.4694993376786,-0.682335680454458
2/25/2009,7461.220215,745.62,2.61607627688783,2.07880648006489
2/26/2009,7457.930176,742.53,-0.0441049117021861,-0.415281314492082
2/27/2009,7568.419922,756.71,1.47063973151748,1.89168149889777
3/2/2009,7280.149902,734.59,-3.88328638017856,-2.96675684476346
3/3/2009,7229.720215,726.8,-0.695111529577413,-1.06611839203644
3/4/2009,7290.959961,732.04,0.843488160937532,0.71838207550654
3/5/2009,7433.490234,741.55,1.93602780439318,1.29074329108899
3/6/2009,7173.100098,721.39,-3.56575654106588,-2.75626837497365
3/9/2009,7086.029785,710.53,-1.22127220843628,-1.51687360064125
3/10/2009,7054.97998,703.5,-0.439146219618677,-0.994329387737878
3/11/2009,7376.120117,722.28,4.45140233674345,2.6344998793236
3/12/2009,7198.25,700.93,-2.44098300407639,-3.00048506458141
3/13/2009,7569.279785,724.3,5.02599813126077,3.27976464994146
3/16/2009,7704.149902,741.69,1.7661209754573,2.37256949102312
3/17/2009,7949.129883,760.64,3.13033420062055,2.52288180603175
3/18/2009,7972.169922,764.67,0.289424297832061,0.528418403778342
3/19/2009,7945.959961,764.77,-0.32930984831507,0.0130766816798896
3/23/2009,8215.530273,791.56,3.33626802747148,3.44305468542914
3/24/2009,8488.299805,812.72,3.26624229624428,2.63809649025868
3/25/2009,8479.990234,818.49,-0.0979423577173848,0.707453248228259
3/26/2009,8636.330078,826.81,1.82684349371527,1.01137432923148
3/27/2009,8626.969727,824.53,-0.108442210041234,-0.27613955318805
3/30/2009,8236.080078,789.54,-4.63687989469204,-4.33630296359022
3/31/2009,8109.529785,773.66,-1.5484625250336,-2.03179967963448
4/1/2009,8351.910156,793.82,2.94503871068269,2.57242347011009
4/2/2009,8719.780273,826.69,4.31037656544374,4.0573040604169
4/3/2009,8749.839844,831.36,0.344135710620062,0.563313814315072
4/6/2009,8857.929688,830.97,1.2277671126899,-0.0469220921424051
4/7/2009,8832.849609,832.6,-0.283538620672076,0.195964164011905
4/8/2009,8595.009766,815.26,-2.72959065031641,-2.10462539906559
4/9/2009,8916.05957,841.81,3.66723216723308,3.20472548019411
4/10/2009,8964.110352,845.97,0.537476969004281,0.492956241239933
4/13/2009,8924.429688,848.97,-0.443644131876495,0.353995201342162
4/14/2009,8842.679688,843.42,-0.920246227878842,-0.655879542625183
4/15/2009,8742.959961,835.25,-1.13411622020745,-0.973397333486353
4/16/2009,8755.259766,832.04,0.140583524697317,-0.385056464823868
4/17/2009,8907.580078,845.57,1.7247972523845,1.6130439570784
4/20/2009,8924.75,848.3,0.192570765916774,0.322339065427783
4/21/2009,8711.330078,830.72,-2.42038298595715,-2.09415521780731
4/22/2009,8727.299805,829.96,0.183153511157429,-0.0915287777365462
4/23/2009,8847.009766,839.5,1.36235010567574,1.14289696593451
4/24/2009,8707.990234,830.05,-1.58385005034613,-1.13205365775105
4/27/2009,8726.339844,833.1,0.210499820681655,0.366774304077867
4/28/2009,8493.769531,811.99,-2.70131217108602,-2.56656581659551
4/30/2009,8828.259766,837.79,3.86250148293006,3.1279447603874
5/1/2009,8977.370117,846.85,1.67490662005104,1.07561109183478
5/7/2009,9385.700195,885.93,4.44802957403992,4.51143573747422
5/8/2009,9432.830078,895.35,0.500889079572085,1.0576762570896
5/11/2009,9451.980469,900.45,0.202812705127343,0.567993508319321
